productSellerID,productCategoryID,productID,productVendorID,productMerchantID,productPosition,productLocation,stars,numberReviews,productName,productPrice,productCondition
2972,80164,16905896,182,17,16,Catalog,60,1,Кавомашина SAECO Lirika Plus Cappuccino RI9841/01 SILVER,410.13,new
5,80164,1224575,206,2,17,Catalog,None,0,Кавоварка DELONGHI SCULTURA ECZ 351.GY,194.31,new
5,80164,7720352,121054,2,18,Catalog,None,0,Крапельна кавоварка PETRA KM 52.58 Belluno,87.93,new
5,80164,8606438,206,2,19,Catalog,None,0,Кавомашина DELONGHI ECAM 650.75 MS,2504.71,new
5,80164,9858811,291,2,20,Catalog,100,1,Кавоварка еспрессо ARIETE 1388 RED,127.1,new
5,80164,11542605,13,2,21,Catalog,None,0,Кавомашина SIEMENS TE 605209 RW,1290.28,new
5,80164,15211276,1757,2,22,Catalog,None,0,Крапельна кавоварка TRISTAR KZ-1226,40.57,new
5,80164,15213145,1757,2,23,Catalog,None,0,Крапельна кавоварка TRISTAR CM-1243,43.49,new
5,80164,15215861,123313,2,24,Catalog,None,0,Крапельна кавоварка PRINCESS 246000 DeLuxe,126.34,new
5,80164,15218822,123313,2,25,Catalog,None,0,Крапельна кавоварка PRINCESS 249402 DeLuxe,197.23,new
746,80164,15219907,120900,17,26,Catalog,None,0,Кавомашина Tchibo Cafissimo Classic 1050 Вт Сріблястий (304822),115.75,new
2972,80164,16905830,4204,17,27,Catalog,80,1,Кавоварка еспресо для автомобіля HANDPRESSO Auto ESE,189.72,new
2972,80164,16905842,183,17,28,Catalog,100,2,Кавоварка еспресо Gaggia Accademia SILVER,1358.6,new
2972,80164,16905848,183,17,29,Catalog,None,0,Кавомашина GAGGIA Naviglio DeLuxe HD8749/11 SILVER,565.43,new
2972,80164,16905890,183,17,30,Catalog,None,0,Кавоварка еспресо GRAN GAGGIA PRESTIGE SILVER,211.35,new
2972,80164,16905932,183,17,31,Catalog,None,0,Кавоварка еспресо GAGGIA CAREZZA DELUXE SILVER,281.94,new
2972,80164,16905968,183,17,0,Catalog,100,2,Кавоварка еспресо GAGGIA Classic Coffee RI9403/11 SILVER,341.52,new
2972,80164,16905992,182,17,1,Catalog,None,0,Кавомашина SAECO Aulika Top RI9846/01 SILVER,1118.48,new
2972,80164,16906010,4204,17,2,Catalog,None,0,Портативна кавоварка еспресо HANDPRESSO Outdoor Hybrid Kit,201.1,new
2972,80164,16906082,182,17,3,Catalog,80,1,Кавомашина SAECO Royal Gran Crema BLACK,764.25,new
2972,80164,16906106,4204,17,4,Catalog,None,0,Портативна кавоварка еспресо HANDPRESSO WILD HYBRID BLUE,141.9,new
2972,80164,16906196,183,17,5,Catalog,None,0,Кавоварка еспресо GRAN GAGGIA DELUXE BLACK,178.33,new
2972,80164,16906232,183,17,6,Catalog,None,3,Кавоварка еспресо GAGGIA Syncrony Logic SILVER,607.17,new
2972,80164,16906268,183,17,7,Catalog,None,0,Кавоварка еспресо GAGGIA Titanium SILVER,888.01,new
2972,80164,16906298,183,17,8,Catalog,None,0,Кавоварка еспресо GAGGIA SYNCRONY LOGIC RS CAPPUCCINO SILVER,626.15,new
2972,80164,16906316,183,17,9,Catalog,None,0,Кавоварка еспресо GAGGIA K111 GREY,182.13,new
2972,80164,16906346,183,17,10,Catalog,None,1,Кавоварка еспресо GAGGIA L`Amante SILVER,279.28,new
2972,80164,16906364,183,17,11,Catalog,None,1,Кавоварка еспресо GRAN GAGGIA STYLE BLACK,156.32,new
2972,80164,16906388,182,17,12,Catalog,None,0,Кавомашина SAECO Aulika MID RI9844/01 BLACK,1094.57,new
2972,80164,16906400,182,17,13,Catalog,None,3,Кавомашина SAECO Aulika Focus SILVER,909.83,new
2972,80164,16906448,4204,17,14,Catalog,None,0,Портативна кавоварка еспресо HANDPRESSO Wild ESE Black Generic,78.9,new
2972,80164,17656152,183,17,15,Catalog,None,0,Кавомашина Gaggia Babila OTC SILVER,1195.41,new
2972,80164,17656416,183,17,16,Catalog,None,0,Кавомашина Gaggia Velasca Prestige OTC SILVER,758.98,new
2972,80164,17727072,150948,17,17,Catalog,None,0,Кавоварка еспресо CAFFITALY S22 WHITE,261.1,new
5,80164,18962797,206,2,18,Catalog,None,0,Кавоварка еспресо DELONGHI EC 685 R,243.61,new
5,80164,19833709,2103,2,19,Catalog,None,0,Крапельна кавоварка RUSSELL HOBBS RETRO VINTAGE CREAM (21702-56),86.49,new
5,80164,305703,1149,2,20,Catalog,None,0,Кавоварка CLATRONIC KA 3327,42.88,new
5,80164,9856396,291,2,21,Catalog,100,1,Кавоварка еспрессо ARIETE 1389 GR,166.94,new
5,80164,9856403,291,2,22,Catalog,100,1,Кавоварка еспрессо ARIETE 1388 BK,127.1,new
5,80164,9859413,291,2,23,Catalog,None,0,Кавоварка еспрессо ARIETE 1363 RED,108.5,new
5,80164,9860386,291,2,24,Catalog,None,0,Кавоварка еспрессо ARIETE 1363 BK,112.68,new
5,80164,12469627,2522,2,25,Catalog,None,0,Кавомашина NIVONA NICR 778,945.39,new
2972,80164,16905872,495,17,26,Catalog,None,1,Кавоварка еспресо EUGSTER/FRISMAG Blaser Star Classic,527.48,new
2972,80164,16906004,183,17,27,Catalog,None,0,Кавомашина GAGGIA Naviglio HD8749/01 BLACK,523.68,new
2972,80164,16906130,183,17,28,Catalog,100,1,Кавомашина Gaggia Velasca BLACK,573.02,new
2972,80164,16906154,183,17,29,Catalog,None,0,Кавомашина GAGGIA Brera BLACK,607.17,new
5,80164,15222469,206,2,30,Catalog,None,0,Кавомашина DELONGHI ECAM 350.75 S,1138.48,new
5,80164,8589421,1977,2,31,Catalog,90,38,Кавоварка MAXWELL MW-1650 BK,13.47,new
5,80164,13923,206,2,0,Catalog,100,13,Кавомашина DELONGHI ESAM 4500 S,675.48,new
5,80164,18156,206,2,1,Catalog,None,0,Кавоварка еспресо DELONGHI ESAM 3500 S,683.07,new
5,80164,14785878,1063,2,2,Catalog,90,11,Кавоварка еспресо Saturn ST-CM 7086 NEW,29.53,new
5,80164,12483795,203,2,3,Catalog,100,3,Кавоварка SCARLETT SC-CM33004 Black,32.22,new
5,80164,21777505,216,2,4,Catalog,None,0,Кавоварка VITEK VT-1528,22.73,new
5,80164,2039857,206,2,5,Catalog,100,7,Кавоварка DELONGHI EC 680 M еспресо,303.57,new
5,80164,2212482,206,2,6,Catalog,90,8,Кавоварка єспресо DELONGHI EC 221 B,113.81,new
5,80164,6276609,182,2,7,Catalog,100,3,Кавомашина SAECO PicoBaristo HD8928/09,948.73,new
5,80164,301159,3096,2,8,Catalog,90,48,Крапельна кавоварка MAGIO MG-345,13.62,new
5,80164,1542967,266,2,9,Catalog,100,1,Крапельна кавоварка POLARIS PCM 0210,16.51,new
5,80164,15212130,1757,2,10,Catalog,None,0,Кавоварка еспресо TRISTAR KZ-2271,100.15,new
5,80164,8611968,102311,2,11,Catalog,None,0,Кавоварка FIRST FA-5476-1,78.52,new
5,80164,9962124,266,2,12,Catalog,80,3,Кавоварка POLARIS PCM 1518AE Adore Cappuccino,207.4,new
